Id,Source,Target,Type
403,Alpay Ýzer,Ali Þen,Undirected
404,Zeki Alpan,Ali Þen,Undirected
405,Nubar Terziyan,Ali Þen,Undirected
406,Þemsi Ýnkaya,Ali Þen,Undirected
407,Hüseyin Kutman,Ali Þen,Undirected
408,Nevzat Okçugil,Ali Þen,Undirected
409,Bilge Zobu,Ali Þen,Undirected
410,Reha Yurdakul,Ali Þen,Undirected
411,Nejat Gürçen,Ali Þen,Undirected
412,Mesut Sürmeli,Ali Þen,Undirected
413,Metin Serezli,Bülent Kayabaþ,Undirected
414,Memduh Ün,Bülent Kayabaþ,Undirected
415,Alpay Ýzer,Bülent Kayabaþ,Undirected
416,Zeki Alpan,Bülent Kayabaþ,Undirected
417,Nubar Terziyan,Bülent Kayabaþ,Undirected
418,Þemsi Ýnkaya,Bülent Kayabaþ,Undirected
419,Hüseyin Kutman,Bülent Kayabaþ,Undirected
420,Nevzat Okçugil,Bülent Kayabaþ,Undirected
421,Bilge Zobu,Bülent Kayabaþ,Undirected
422,Reha Yurdakul,Bülent Kayabaþ,Undirected
423,Nejat Gürçen,Bülent Kayabaþ,Undirected
424,Mesut Sürmeli,Bülent Kayabaþ,Undirected
425,Memduh Ün,Metin Serezli,Undirected
426,Alpay Ýzer,Metin Serezli,Undirected
427,Zeki Alpan,Metin Serezli,Undirected
428,Nubar Terziyan,Metin Serezli,Undirected
429,Þemsi Ýnkaya,Metin Serezli,Undirected
430,Hüseyin Kutman,Metin Serezli,Undirected
431,Nevzat Okçugil,Metin Serezli,Undirected
432,Bilge Zobu,Metin Serezli,Undirected
433,Reha Yurdakul,Metin Serezli,Undirected
434,Nejat Gürçen,Metin Serezli,Undirected
435,Mesut Sürmeli,Metin Serezli,Undirected
436,Alpay Ýzer,Memduh Ün,Undirected
437,Zeki Alpan,Memduh Ün,Undirected
438,Nubar Terziyan,Memduh Ün,Undirected
439,Þemsi Ýnkaya,Memduh Ün,Undirected
440,Hüseyin Kutman,Memduh Ün,Undirected
441,Nevzat Okçugil,Memduh Ün,Undirected
442,Bilge Zobu,Memduh Ün,Undirected
443,Reha Yurdakul,Memduh Ün,Undirected
444,Nejat Gürçen,Memduh Ün,Undirected
445,Mesut Sürmeli,Memduh Ün,Undirected
446,Zeki Alpan,Alpay Ýzer,Undirected
447,Nubar Terziyan,Alpay Ýzer,Undirected
448,Þemsi Ýnkaya,Alpay Ýzer,Undirected
449,Hüseyin Kutman,Alpay Ýzer,Undirected
450,Nevzat Okçugil,Alpay Ýzer,Undirected
451,Bilge Zobu,Alpay Ýzer,Undirected
452,Reha Yurdakul,Alpay Ýzer,Undirected
